#Name,Clouds,Precipitation,Precipitation Deposits,Wind,Fog Density,Fog Distance,Wetness,Sun Azimuth Angle,Sun Altitude Angle, Headlights
Midday_Rain,40,100,80,80,0,25,100,0,75,0
Night_Heavy_Rain,80,80,70,60,0,10,60,0,-80,1
